City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Leiyang,CN,2022-02-01 01:04:15,26.4024,112.8591,38.66,96,100,3.67
120,Yarkovo,RU,2022-02-01 01:04:15,57.4028,67.0786,-6.32,100,58,3.0
121,Tazovskiy,RU,2022-02-01 01:04:16,67.4667,78.7,0.32,98,100,5.03
122,Hobyo,SO,2022-02-01 01:04:16,5.3505,48.5268,77.02,82,58,13.18
123,Isangel,VU,2022-02-01 01:04:16,-19.55,169.2667,78.87,88,100,9.69
124,Puerto Leguizamo,CO,2022-02-01 01:00:24,-0.1934,-74.7819,77.14,57,93,2.46
125,Hithadhoo,MV,2022-02-01 01:04:17,-0.6,73.0833,82.35,73,22,11.05
126,Gubkinskiy,RU,2022-02-01 01:04:17,64.434,76.5026,1.85,97,89,8.46
127,Armacao De Pera,PT,2022-02-01 01:04:18,37.1026,-8.357,51.71,48,0,6.53
128,Talakan,RU,2022-02-01 01:04:18,50.3167,130.3667,-8.03,97,98,2.37
129,Ambulu,ID,2022-02-01 01:04:19,-8.345,113.6058,81.43,77,100,2.28
130,Tall Kayf,TR,2022-02-01 01:04:19,37.0833,41.0667,39.27,71,65,4.63
131,Raga,SS,2022-02-01 01:00:21,8.4596,25.678,67.41,19,9,7.31
132,Hun,LY,2022-02-01 01:04:20,29.1268,15.9477,50.83,42,6,9.53
133,Upernavik,GL,2022-02-01 01:04:20,72.7868,-56.1549,-16.76,97,100,7.56
134,Tingo Maria,PE,2022-02-01 01:04:20,-9.2895,-76.0088,69.8,97,100,1.86
135,Ust-Uda,RU,2022-02-01 01:04:21,54.1742,103.0304,-16.8,100,100,1.03
136,Awjilah,LY,2022-02-01 01:04:21,29.1081,21.2869,52.63,66,0,9.66
137,Tasiilaq,GL,2022-02-01 01:04:22,65.6145,-37.6368,10.56,95,93,6.73
138,Annau,TM,2022-02-01 01:04:22,37.8876,58.516,45.82,33,54,4.09
139,Goya,AR,2022-02-01 01:04:22,-29.14,-59.2626,80.58,39,0,7.9
140,Kirakira,SB,2022-02-01 01:04:23,-10.4544,161.9205,84.92,72,82,5.57
141,New Norfolk,AU,2022-02-01 01:00:45,-42.7826,147.0587,81.9,32,27,5.01
142,San Patricio,US,2022-02-01 01:04:23,28.017,-97.5169,66.88,97,100,10.76
143,Solnechnyy,RU,2022-02-01 01:04:25,50.7214,136.6319,2.43,93,98,2.17
144,Zaysan,KZ,2022-02-01 01:04:25,47.4667,84.8667,-0.17,94,100,1.7
145,Cape Town,ZA,2022-02-01 01:00:04,-33.9258,18.4232,75.11,83,17,2.93
146,Bulaevo,KZ,2022-02-01 01:04:26,54.9056,70.4439,20.82,95,90,10.31
147,Mago,RU,2022-02-01 01:04:26,53.2514,140.1822,6.44,79,100,8.63
148,Sorland,NO,2022-02-01 01:04:27,67.667,12.6934,33.94,56,100,12.53
149,Mosquera,CO,2022-02-01 01:04:27,4.7059,-74.2302,51.62,90,91,1.95
150,Bairiki,KI,2022-02-01 01:04:28,1.3292,172.9752,86.0,74,20,11.5
151,Dikson,RU,2022-02-01 01:04:28,73.5069,80.5464,-1.73,89,100,18.84
152,Dwarka,IN,2022-02-01 01:04:29,22.2394,68.9678,70.93,83,0,8.43
153,Fairbanks,US,2022-02-01 00:55:25,64.8378,-147.7164,-7.4,75,5,2.3
154,Rosarito,MX,2022-02-01 01:04:29,32.3333,-117.0333,61.93,69,100,5.66
155,Oeiras,BR,2022-02-01 01:04:30,-7.0253,-42.1311,79.72,59,100,1.99
156,Waynesboro,US,2022-02-01 01:04:30,38.0685,-78.8895,29.21,73,0,0.0
157,Pafos,CY,2022-02-01 01:04:30,34.7667,32.4167,44.38,87,20,8.05
158,Kraslava,LV,2022-02-01 01:04:31,55.8951,27.168,21.83,94,99,8.05
159,Tual,ID,2022-02-01 01:04:31,-5.6667,132.75,83.77,72,100,21.32
160,Durham,US,2022-02-01 01:04:32,36.0335,-78.8664,41.18,65,0,5.75
161,Torbay,CA,2022-02-01 01:03:18,47.6666,-52.7314,31.75,76,70,4.0
162,Sibolga,ID,2022-02-01 01:04:32,1.7427,98.7792,77.59,86,63,1.95
163,Ribeira Grande,PT,2022-02-01 01:04:33,38.5167,-28.7,59.94,74,16,13.76
164,Souillac,MU,2022-02-01 01:01:04,-20.5167,57.5167,79.36,73,100,22.73
165,Livingston,GB,2022-02-01 00:57:52,55.9029,-3.5226,48.79,89,75,16.11
166,Bengkulu,ID,2022-02-01 01:04:33,-3.8004,102.2655,78.64,79,77,3.29
167,Khatanga,RU,2022-02-01 01:04:34,71.9667,102.5,-29.04,100,21,3.15
168,Luan,CH,2022-02-01 01:04:34,46.3592,6.9759,29.37,88,100,11.01
169,Buraydah,SA,2022-02-01 01:04:35,26.326,43.975,55.04,37,0,11.43
170,Caconda,AO,2022-02-01 01:04:35,-13.7333,15.0667,57.83,81,100,3.8
171,Pochutla,MX,2022-02-01 01:04:36,15.7432,-96.4661,80.82,72,0,8.23
172,Teeli,RU,2022-02-01 01:04:36,51.0333,90.2333,-13.13,95,100,1.1
173,Itarema,BR,2022-02-01 01:04:36,-2.9248,-39.9167,78.82,77,24,11.21
174,Mezen,RU,2022-02-01 01:04:37,65.8522,44.24,3.51,97,100,4.23
175,Sao Joao Da Barra,BR,2022-02-01 01:04:37,-21.6403,-41.0511,77.54,88,100,9.22
176,Bowen,AU,2022-02-01 01:01:19,-20.0167,148.2333,84.31,70,2,6.8
177,Chicama,PE,2022-02-01 01:04:38,-7.8447,-79.1469,66.74,72,7,5.23
178,Kudahuvadhoo,MV,2022-02-01 01:04:38,2.6708,72.8944,81.84,78,65,11.86
179,Port Hardy,CA,2022-02-01 01:00:08,50.6996,-127.4199,42.76,79,94,10.29
180,Pindobacu,BR,2022-02-01 01:04:39,-10.7417,-40.3608,75.54,62,66,1.39
181,Tuktoyaktuk,CA,2022-02-01 01:04:39,69.4541,-133.0374,-10.17,99,100,5.21
182,Tilichiki,RU,2022-02-01 00:56:43,60.4667,166.1,8.35,87,100,8.12
183,Tatvan,TR,2022-02-01 01:04:40,38.5067,42.2817,16.52,91,76,4.9
184,Modasa,IN,2022-02-01 01:04:40,23.4667,73.3,61.56,76,0,4.47
185,Bargarh,IN,2022-02-01 01:04:41,21.3333,83.6167,58.37,39,19,1.54
186,Merauke,ID,2022-02-01 01:01:12,-8.4667,140.3333,80.51,78,100,11.3
187,Bria,CF,2022-02-01 01:04:41,6.5423,21.9863,67.15,27,34,3.06
188,Cockburn Town,TC,2022-02-01 00:55:31,21.4612,-71.1419,74.12,71,100,22.32
189,Kletnya,RU,2022-02-01 01:04:43,53.3897,33.2171,30.36,95,100,8.63
190,Athabasca,CA,2022-02-01 01:04:43,54.7169,-113.2854,-5.04,89,100,9.98
191,Samarai,PG,2022-02-01 00:55:19,-10.6167,150.6667,86.13,66,100,12.57
192,Ateli,IN,2022-02-01 01:04:44,28.1,76.2833,52.2,49,0,1.03
193,Aklavik,CA,2022-02-01 01:04:45,68.2191,-135.0107,0.1,91,100,11.45
194,Tuatapere,NZ,2022-02-01 01:04:45,-46.1333,167.6833,75.81,44,100,0.4
195,Palmas,BR,2022-02-01 01:00:48,-10.2128,-48.3603,73.18,92,80,1.21
196,East London,ZA,2022-02-01 01:04:46,-33.0153,27.9116,77.16,72,100,2.28
197,Hokitika,NZ,2022-02-01 01:04:46,-42.7167,170.9667,70.18,61,100,5.86
198,Ha Tinh,VN,2022-02-01 01:04:47,18.3333,105.9,58.75,87,100,6.51
199,Gijon,ES,2022-02-01 01:04:47,43.5357,-5.6615,52.81,94,100,5.01
200,Kloulklubed,PW,2022-02-01 00:53:17,7.0419,134.2556,82.9,72,100,17.9
201,Pisco,PE,2022-02-01 01:04:48,-13.7,-76.2167,71.65,73,100,13.8
202,Tarboro,US,2022-02-01 01:04:48,35.8968,-77.5358,39.18,64,0,6.91
203,Uruguaiana,BR,2022-02-01 01:02:12,-29.7547,-57.0883,79.48,39,0,9.57
204,Komsomolskiy,UZ,2022-02-01 01:04:49,40.4272,71.7189,26.02,80,81,4.61
205,Bergen,NO,2022-02-01 01:04:49,60.392,5.328,35.65,94,75,9.22
206,Kishtwar,IN,2022-02-01 01:04:50,33.3167,75.7667,29.08,77,9,6.2
207,Waitati,NZ,2022-02-01 01:04:50,-45.75,170.5667,65.8,83,100,9.28
208,Faya,SA,2022-02-01 01:04:50,18.3851,42.4509,52.32,82,19,6.13
209,Port Hedland,AU,2022-02-01 01:04:51,-20.3167,118.5667,87.85,74,75,4.61
210,Ialibu,PG,2022-02-01 01:04:51,-6.2821,143.9935,62.94,76,100,3.89
211,Lamar,US,2022-02-01 01:04:52,33.6668,-95.5836,58.51,82,100,6.91
212,Grindavik,IS,2022-02-01 01:04:17,63.8424,-22.4338,34.27,75,75,24.16
213,Borger,NL,2022-02-01 01:04:52,52.9233,6.7931,40.78,87,98,12.03
214,Bilma,NE,2022-02-01 00:55:21,18.6853,12.9164,52.38,23,0,4.38
215,Surgut,RU,2022-02-01 01:04:53,61.25,73.4167,-3.82,84,40,1.99
216,Vila Franca Do Campo,PT,2022-02-01 01:04:54,37.7167,-25.4333,58.19,79,31,13.87
217,Nhulunbuy,AU,2022-02-01 01:04:54,-12.2333,136.7667,82.71,76,100,14.81
218,Colac,AU,2022-02-01 01:04:54,-38.3333,143.5833,73.0,58,6,15.32
219,Hirara,JP,2022-02-01 01:04:55,24.8,125.2833,65.46,65,96,13.73
220,Veshenskaya,RU,2022-02-01 01:04:55,49.6303,41.7334,31.14,88,99,16.58
221,Mackay,AU,2022-02-01 01:04:56,-21.15,149.2,92.68,72,93,4.47
222,Nouakchott,MR,2022-02-01 01:01:58,18.0858,-15.9785,71.53,60,100,13.11
