City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
374,Gannan,CN,47.9147,123.5031,7.23,65,0,10.54,clear sky
375,Rincon,US,32.296,-81.2354,68.45,89,0,1.01,clear sky
376,Tarko-Sale,RU,64.9225,77.785,12.94,96,100,8.34,overcast clouds
377,Moranbah,AU,-22.0016,148.0466,86.2,51,100,18.37,overcast clouds
378,Kibala,TD,9.1104,18.3463,67.95,24,0,0.0,clear sky
379,Limbang,MY,4.75,115.0,87.91,57,98,5.26,overcast clouds
380,Karratha,AU,-20.7377,116.8463,93.97,41,61,11.41,broken clouds
381,Pangody,RU,65.85,74.4859,6.42,97,95,6.33,overcast clouds
382,Ekhabi,RU,53.5102,142.9671,4.39,94,100,21.99,light snow
383,Verkh-Chebula,RU,56.0308,87.6218,13.68,92,91,7.23,overcast clouds
384,Longonjo,AO,-12.9067,15.2533,59.23,88,100,1.39,overcast clouds
385,Lerwick,GB,60.1545,-1.1494,37.4,65,83,34.2,broken clouds
386,Okhotsk,RU,59.3833,143.3,10.81,74,83,14.92,broken clouds
387,Saldanha,ZA,-33.0117,17.9442,57.25,79,0,19.28,clear sky
388,Altamont,US,42.2068,-121.7372,33.89,65,0,5.75,clear sky
389,Zaidpur,IN,26.8333,81.3333,57.27,86,58,8.86,broken clouds
390,Kenai,US,60.5544,-151.2583,25.14,93,100,18.41,light snow
391,Dandong,CN,40.1292,124.3947,19.27,39,1,13.02,clear sky
392,Matara,LK,5.9485,80.5353,81.55,65,5,4.43,clear sky
